index,current_price,make,model,year,title_status,mileage
264,7560,ford,door,2016,clean vehicle,111476.0
265,19500,ford,drw,2011,clean vehicle,76897.0
266,17100,chevrolet,malibu,2019,clean vehicle,15780.0
267,8020,ford,door,2016,clean vehicle,31944.0
268,10300,ford,fiesta,2019,clean vehicle,18937.0
269,22600,chevrolet,van,2019,clean vehicle,9706.0
270,10480,ford,doors,2016,clean vehicle,57289.0
271,10300,ford,fiesta,2019,clean vehicle,19956.0
272,22700,chevrolet,van,2019,clean vehicle,6075.0
273,7410,ford,door,2016,clean vehicle,21034.0
274,10300,ford,fiesta,2019,clean vehicle,22881.0
275,10300,chevrolet,door,2013,clean vehicle,167600.0
276,7570,ford,door,2016,clean vehicle,37252.0
277,67000,dodge,challenger,2019,clean vehicle,10944.0
278,18900,chevrolet,impala,2019,clean vehicle,27601.0
279,12560,ford,doors,2019,clean vehicle,15958.0
280,33000,dodge,durango,2019,clean vehicle,32251.0
281,18300,chevrolet,impala,2019,clean vehicle,25809.0
282,11760,ford,cab,2017,clean vehicle,30553.0
283,31700,dodge,durango,2019,clean vehicle,26549.0
286,7340,ford,doors,2019,clean vehicle,15854.0
287,8200,hyundai,door,2017,clean vehicle,56690.0
288,3000,kia,door,2013,clean vehicle,97142.0
289,6530,jeep,mpv,2019,clean vehicle,10185.0
291,12700,kia,soul,2019,clean vehicle,23514.0
292,13800,kia,sorento,2017,clean vehicle,86959.0
295,7400,ford,doors,2019,clean vehicle,16482.0
296,9800,hyundai,elantra,2017,clean vehicle,35687.0
298,4400,jeep,mpv,2019,clean vehicle,17911.0
299,10330,infiniti,mpv,2019,clean vehicle,21278.0
302,720,ford,wagon,2006,clean vehicle,26914.0
303,22800,ford,door,2017,clean vehicle,67217.0
306,9190,gmc,mpv,2017,clean vehicle,41961.0
307,10900,jeep,mpv,2019,clean vehicle,13273.0
308,10400,infiniti,mpv,2019,clean vehicle,31713.0
311,7320,chevrolet,pickup,2008,clean vehicle,325611.0
312,22809,ford,f-150,2017,clean vehicle,50732.0
315,5520,gmc,mpv,2017,clean vehicle,52904.0
316,10900,jeep,mpv,2019,clean vehicle,14195.0
317,6330,jeep,mpv,2019,clean vehicle,43965.0
320,2320,dodge,door,2007,clean vehicle,112182.0
321,23702,ford,door,2017,clean vehicle,49024.0
324,5520,gmc,mpv,2017,clean vehicle,35821.0
325,4050,heartland,pioneer,2018,clean vehicle,1.0
326,14810,infiniti,mpv,2019,clean vehicle,32611.0
328,2960,chrysler,van,2008,clean vehicle,164048.0
329,24800,ford,door,2017,clean vehicle,46955.0
332,6270,gmc,mpv,2017,clean vehicle,70443.0
333,1880,heartland,trail,2012,clean vehicle,1.0
334,10050,infiniti,mpv,2019,clean vehicle,18229.0
336,26900,chevrolet,traverse,2018,clean vehicle,42941.0
337,1420,chrysler,door,2007,clean vehicle,104405.0
338,27003,ford,door,2017,clean vehicle,57186.0
341,5600,gmc,mpv,2017,clean vehicle,59808.0
342,6680,heartland,country,2011,clean vehicle,1.0
343,10120,infiniti,mpv,2019,clean vehicle,20681.0
345,3920,ford,door,2015,clean vehicle,102700.0
346,23100,ford,door,2017,clean vehicle,53270.0
348,5630,gmc,mpv,2017,clean vehicle,27195.0
349,0,heartland,sundance,2009,clean vehicle,1.0
